student_id,event_type,event_date,term,enrollment_status,second_year_ret_flag
8d8e154b-e39,acceptance,2019-05-04,Fall 2019,,
8d8e154b-e39,enrollment,2019-09-13,Fall 2019,part-time,1.0
2eb2907c-481,application,2019-12-18,Fall 2020,,
2eb2907c-481,acceptance,2020-02-12,Fall 2020,,
2eb2907c-481,enrollment,2020-08-16,Fall 2020,full-time,1.0
d084b348-f35,application,2019-01-22,Fall 2019,,
d084b348-f35,acceptance,2019-03-15,Fall 2019,,
d084b348-f35,enrollment,2019-09-07,Fall 2019,part-time,1.0
69d39f8c-366,application,2021-03-02,Fall 2021,,
69d39f8c-366,acceptance,2021-05-02,Fall 2021,,
69d39f8c-366,enrollment,2021-09-12,Fall 2021,part-time,1.0
5d2e0d2b-f0a,application,2019-02-21,Fall 2019,,
5d2e0d2b-f0a,acceptance,2019-04-03,Fall 2019,,
5d2e0d2b-f0a,enrollment,2019-09-11,Fall 2019,full-time,1.0
feef8e59-89a,application,2020-11-18,Fall 2021,,
feef8e59-89a,acceptance,2021-01-18,Fall 2021,,
feef8e59-89a,enrollment,2021-09-03,Fall 2021,full-time,0.0
feef8e59-89a,withdrawal,2022-03-08,Spring 2022,not_enrolled,0.0
1c599c5a-9c2,application,2021-02-22,Fall 2021,,
1c599c5a-9c2,acceptance,2021-05-13,Fall 2021,,
1c599c5a-9c2,enrollment,2021-09-04,Fall 2021,part-time,1.0
6f59e52c-0c0,application,2019-11-02,Fall 2020,,
6f59e52c-0c0,acceptance,2019-12-06,Fall 2020,,
6f59e52c-0c0,enrollment,2020-08-22,Fall 2020,part-time,0.0
6f59e52c-0c0,withdrawal,2021-03-10,Spring 2021,not_enrolled,0.0
5639f687-304,application,2020-03-13,Fall 2020,,
5639f687-304,acceptance,2020-05-25,Fall 2020,,
5639f687-304,enrollment,2020-09-12,Fall 2020,part-time,1.0
bb8f9b74-9fd,application,2018-12-11,Fall 2019,,
bb8f9b74-9fd,acceptance,2019-02-23,Fall 2019,,
bb8f9b74-9fd,enrollment,2019-08-31,Fall 2019,full-time,1.0
8a1bd519-273,application,2021-02-25,Fall 2021,,
8a1bd519-273,acceptance,2021-04-15,Fall 2021,,
8a1bd519-273,enrollment,2021-09-10,Fall 2021,full-time,1.0
25d7c3d3-5a8,application,2019-02-20,Fall 2019,,
25d7c3d3-5a8,acceptance,2019-05-17,Fall 2019,,
25d7c3d3-5a8,enrollment,2019-09-07,Fall 2019,full-time,1.0
de58c3fc-78a,application,2020-03-02,Fall 2020,,
de58c3fc-78a,acceptance,2020-04-06,Fall 2020,,
de58c3fc-78a,enrollment,2020-08-17,Fall 2020,full-time,1.0
eef76dc0-5c2,application,2020-10-03,Fall 2021,,
eef76dc0-5c2,acceptance,2020-11-29,Fall 2021,,
eef76dc0-5c2,enrollment,2021-09-07,Fall 2021,full-time,0.0
eef76dc0-5c2,withdrawal,2022-06-06,Spring 2022,not_enrolled,0.0
76add772-6c6,application,2018-10-12,Fall 2019,,
76add772-6c6,acceptance,2018-12-05,Fall 2019,,
76add772-6c6,enrollment,2019-09-06,Fall 2019,full-time,1.0
895d0b12-eb0,application,2019-01-26,Fall 2019,,
895d0b12-eb0,acceptance,2019-04-15,Fall 2019,,
895d0b12-eb0,enrollment,2019-09-01,Fall 2019,full-time,1.0
3bc1f190-003,application,2018-12-14,Fall 2019,,
3bc1f190-003,acceptance,2027-06-15,Fall 2019,,
3bc1f190-003,enrollment,2019-09-13,Fall 2019,full-time,1.0
f65d569d-335,application,2020-01-13,Fall 2020,,
f65d569d-335,acceptance,2020-03-13,Fall 2020,,
f65d569d-335,enrollment,2020-09-04,Fall 2020,part-time,1.0
18880f3d-fe3,application,2020-03-05,Fall 2020,,
18880f3d-fe3,acceptance,2020-04-07,Fall 2020,,
18880f3d-fe3,enrollment,2020-08-18,Fall 2020,full-time,1.0
bad781b0-491,application,2019-01-19,Fall 2019,,
bad781b0-491,acceptance,2019-04-15,Fall 2019,,
bad781b0-491,enrollment,2019-08-31,Fall 2019,full-time,1.0
92baf444-006,application,2019-03-04,Fall 2019,,
92baf444-006,acceptance,2019-04-10,Fall 2019,,
92baf444-006,enrollment,2019-09-05,Fall 2019,full-time,1.0
22b863dc-105,application,2019-12-22,Fall 2020,,
22b863dc-105,acceptance,2020-01-30,Fall 2020,,
22b863dc-105,enrollment,2020-08-24,Fall 2020,full-time,1.0
f1e50a43-6d1,application,2018-12-05,Fall 2019,,
f1e50a43-6d1,acceptance,2019-02-26,Fall 2019,,
f1e50a43-6d1,enrollment,2019-08-25,Fall 2019,full-time,1.0
eb567f76-bed,application,2018-12-07,Fall 2019,,
eb567f76-bed,acceptance,2019-02-11,Fall 2019,,
eb567f76-bed,enrollment,2019-09-12,Fall 2019,part-time,1.0
60a6e1a0-da0,application,2020-11-21,Fall 2021,,
60a6e1a0-da0,acceptance,2021-01-03,Fall 2021,,
60a6e1a0-da0,enrollment,2021-09-06,Fall 2021,full-time,0.0
aeb974a6-d3f,application,2020-10-31,Fall 2021,,
aeb974a6-d3f,acceptance,2020-12-17,Fall 2021,,
aeb974a6-d3f,enrollment,2021-08-23,Fall 2021,full-time,1.0
8bb4b6fa-342,application,2019-02-04,Fall 2019,,
8bb4b6fa-342,acceptance,2019-04-05,Fall 2019,,
8bb4b6fa-342,enrollment,2019-09-12,Fall 2019,full-time,1.0
a955a300-c84,application,2021-02-24,Fall 2021,,
a955a300-c84,acceptance,2021-04-01,Fall 2021,,
a955a300-c84,enrollment,2021-08-20,Fall 2021,full-time,1.0
a9e10d7d-f68,application,2018-10-17,Fall 2019,,
a9e10d7d-f68,acceptance,2018-12-01,Fall 2019,,
a9e10d7d-f68,enrollment,2019-08-26,Fall 2019,full-time,0.0
a9e10d7d-f68,withdrawal,2020-06-08,Spring 2020,not_enrolled,0.0
73617523-70a,application,2018-12-02,Fall 2019,,
73617523-70a,acceptance,2019-01-06,Fall 2019,,
73617523-70a,enrollment,2019-09-13,Fall 2019,full-time,1.0
e22ba6e5-af1,application,2019-02-11,Fall 2019,,
e22ba6e5-af1,acceptance,2019-03-14,Fall 2019,,
e22ba6e5-af1,enrollment,2019-08-27,Fall 2019,full-time,1.0
23280704-ea0,application,2019-11-25,Fall 2020,,
23280704-ea0,acceptance,2020-01-11,Fall 2020,,
23280704-ea0,enrollment,2020-09-09,Fall 2020,full-time,1.0
afe50617-661,application,2020-01-13,Fall 2020,,
afe50617-661,acceptance,2020-04-02,Fall 2020,,
afe50617-661,enrollment,2020-08-31,Fall 2020,full-time,0.0
afe50617-661,withdrawal,2021-02-04,Spring 2021,not_enrolled,0.0
8ae687c8-97e,application,2019-01-27,Fall 2019,,
8ae687c8-97e,acceptance,2019-04-08,Fall 2019,,
8ae687c8-97e,enrollment,2019-09-01,Fall 2019,full-time,1.0
354dbd40-195,application,2019-12-21,Fall 2020,,
354dbd40-195,acceptance,2020-03-16,Fall 2020,,
354dbd40-195,enrollment,2020-08-16,Fall 2020,full-time,0.0
354dbd40-195,withdrawal,2021-04-14,Spring 2021,not_enrolled,0.0
735478c8-a7d,application,2019-12-07,Fall 2020,,
735478c8-a7d,acceptance,2020-01-29,Fall 2020,,
735478c8-a7d,enrollment,2020-08-15,Fall 2020,full-time,0.0
735478c8-a7d,withdrawal,2021-06-11,Spring 2021,not_enrolled,0.0
b448a982-7d9,application,2018-12-16,Fall 2019,,
b448a982-7d9,acceptance,2019-02-24,Fall 2019,,
b448a982-7d9,enrollment,2019-08-30,Fall 2019,full-time,0.0
b448a982-7d9,withdrawal,2020-02-25,Spring 2020,not_enrolled,0.0
1fde2f91-c65,application,2027-06-15,Fall 2020,,
1fde2f91-c65,acceptance,2020-03-17,Fall 2020,,
1fde2f91-c65,enrollment,2020-08-22,Fall 2020,full-time,1.0
2029de2f-649,application,2019-03-13,Fall 2019,,
2029de2f-649,acceptance,2019-04-14,Fall 2019,,
2029de2f-649,enrollment,2019-08-22,Fall 2019,full-time,0.0
823ebf17-6c6,application,2019-01-17,Fall 2019,,
823ebf17-6c6,acceptance,2019-03-19,Fall 2019,,
823ebf17-6c6,enrollment,2019-08-18,Fall 2019,full-time,1.0
8e1df79f-ceb,application,2020-10-28,Fall 2021,,
8e1df79f-ceb,acceptance,2020-12-15,Fall 2021,,
8e1df79f-ceb,enrollment,2021-08-22,Fall 2021,full-time,1.0
af4ad3f1-ffd,application,2018-11-28,Fall 2019,,
af4ad3f1-ffd,acceptance,2019-02-13,Fall 2019,,
af4ad3f1-ffd,enrollment,2019-09-12,Fall 2019,part-time,1.0
7a6305ac-f47,application,2020-12-08,Fall 2021,,
7a6305ac-f47,acceptance,2021-01-29,Fall 2021,,
7a6305ac-f47,enrollment,2021-09-03,Fall 2021,part-time,1.0
65e97a53-269,application,2019-01-26,Fall 2019,,
65e97a53-269,acceptance,2019-04-09,Fall 2019,,
65e97a53-269,enrollment,2019-09-11,Fall 2019,full-time,1.0
63b2345f-d17,application,2019-03-22,Fall 2019,,
63b2345f-d17,acceptance,2019-05-26,Fall 2019,,
63b2345f-d17,enrollment,2019-08-21,Fall 2019,full-time,0.0
63b2345f-d17,withdrawal,2020-01-28,Spring 2020,not_enrolled,0.0
bda29f96-cf0,application,2019-10-23,Fall 2020,,
bda29f96-cf0,acceptance,2019-12-05,Fall 2020,,
bda29f96-cf0,enrollment,2020-09-01,Fall 2020,part-time,0.0
bda29f96-cf0,withdrawal,2021-06-05,Spring 2021,not_enrolled,0.0
8e71707a-ea5,application,2020-10-22,Fall 2021,,
8e71707a-ea5,acceptance,2020-12-24,Fall 2021,,
8e71707a-ea5,enrollment,2021-09-05,Fall 2021,full-time,1.0
1fe5511e-f66,application,2020-11-15,Fall 2021,,
1fe5511e-f66,acceptance,2021-01-02,Fall 2021,,
1fe5511e-f66,enrollment,2021-08-23,Fall 2021,full-time,0.0
5fac00c2-d30,application,2020-02-29,Fall 2020,,
5fac00c2-d30,acceptance,2020-04-03,Fall 2020,,
5fac00c2-d30,enrollment,2020-08-29,Fall 2020,full-time,1.0
09dd6673-b14,application,2019-02-09,Fall 2019,,
09dd6673-b14,acceptance,2019-04-30,Fall 2019,,
09dd6673-b14,enrollment,2019-09-03,Fall 2019,full-time,0.0
df017454-ce1,application,2020-12-15,Fall 2021,,
df017454-ce1,acceptance,2021-02-11,Fall 2021,,
df017454-ce1,enrollment,2021-08-17,Fall 2021,full-time,1.0
3c777be2-53b,application,2020-11-05,Fall 2021,,
3c777be2-53b,acceptance,2020-12-20,Fall 2021,,
3c777be2-53b,enrollment,2021-09-09,Fall 2021,full-time,1.0
e32f8096-30b,application,2019-02-21,Fall 2019,,
e32f8096-30b,acceptance,2019-05-20,Fall 2019,,
e32f8096-30b,enrollment,2019-09-07,Fall 2019,full-time,1.0
bababfb4-520,application,2021-02-02,Fall 2021,,
bababfb4-520,acceptance,2021-03-28,Fall 2021,,
bababfb4-520,enrollment,2021-08-31,Fall 2021,full-time,1.0
6834b70f-300,application,2019-10-09,Fall 2020,,
6834b70f-300,acceptance,2019-12-02,Fall 2020,,
6834b70f-300,enrollment,2020-09-06,Fall 2020,full-time,1.0
65ee3e2c-c12,application,2021-01-03,Fall 2021,,
65ee3e2c-c12,acceptance,2021-03-24,Fall 2021,,
65ee3e2c-c12,enrollment,2021-09-06,Fall 2021,part-time,1.0
6856faa1-363,application,2021-01-13,Fall 2021,,
6856faa1-363,acceptance,2021-03-08,Fall 2021,,
6856faa1-363,enrollment,2021-09-10,Fall 2021,part-time,1.0
f09af766-d8b,application,2021-01-18,Fall 2021,,
f09af766-d8b,acceptance,2021-04-07,Fall 2021,,
f09af766-d8b,enrollment,2021-09-13,Fall 2021,full-time,1.0
410491f4-1fb,application,2019-02-18,Fall 2019,,
410491f4-1fb,acceptance,2019-05-15,Fall 2019,,
410491f4-1fb,enrollment,2019-09-07,Fall 2019,full-time,0.0
3f287569-824,application,2018-10-12,Fall 2019,,
3f287569-824,acceptance,2018-12-12,Fall 2019,,
3f287569-824,enrollment,2019-09-08,Fall 2019,part-time,1.0
e1c4307a-e6c,application,2020-02-16,Fall 2020,,
e1c4307a-e6c,acceptance,2020-05-12,Fall 2020,,
e1c4307a-e6c,enrollment,2020-08-21,Fall 2020,full-time,1.0
d42c282c-608,application,2019-02-26,Fall 2019,,
d42c282c-608,acceptance,2019-05-19,Fall 2019,,
d42c282c-608,enrollment,2019-08-24,Fall 2019,full-time,1.0
312a0464-bea,application,2019-01-10,Fall 2019,,
312a0464-bea,acceptance,2019-03-03,Fall 2019,,
312a0464-bea,enrollment,2019-08-31,Fall 2019,full-time,1.0
50855346-7c1,application,2019-02-18,Fall 2019,,
50855346-7c1,acceptance,2019-04-06,Fall 2019,,
50855346-7c1,enrollment,2019-09-07,Fall 2019,full-time,1.0
465085e5-175,application,2018-11-12,Fall 2019,,
465085e5-175,acceptance,2018-12-15,Fall 2019,,
465085e5-175,enrollment,2019-08-30,Fall 2019,full-time,1.0
6089b9f5-0dc,application,2020-12-10,Fall 2021,,
6089b9f5-0dc,acceptance,2021-01-21,Fall 2021,,
6089b9f5-0dc,enrollment,2021-08-17,Fall 2021,full-time,0.0
78c332f6-f80,application,2020-01-15,Fall 2020,,
78c332f6-f80,acceptance,2020-04-10,Fall 2020,,
78c332f6-f80,enrollment,2020-08-16,Fall 2020,full-time,1.0
c9e5b1c5-2a8,application,2019-10-14,Fall 2020,,
c9e5b1c5-2a8,acceptance,2019-12-27,Fall 2020,,
c9e5b1c5-2a8,enrollment,2020-09-13,Fall 2020,part-time,0.0
c9e5b1c5-2a8,withdrawal,2021-05-16,Spring 2021,not_enrolled,0.0
a0622ce4-f9c,application,2021-03-20,Fall 2021,,
a0622ce4-f9c,acceptance,2021-05-04,Fall 2021,,
a0622ce4-f9c,enrollment,2021-09-13,Fall 2021,full-time,1.0
9a6f3b19-176,application,2019-11-18,Fall 2020,,
9a6f3b19-176,acceptance,2020-02-15,Fall 2020,,
9a6f3b19-176,enrollment,2020-08-24,Fall 2020,full-time,0.0
9a6f3b19-176,withdrawal,2021-03-23,Spring 2021,not_enrolled,0.0
22a502e6-244,application,2019-12-24,Fall 2020,,
22a502e6-244,acceptance,2020-03-17,Fall 2020,,
22a502e6-244,enrollment,2020-08-26,Fall 2020,full-time,1.0
2af959e4-a7f,application,2019-01-14,Fall 2019,,
2af959e4-a7f,acceptance,2019-03-11,Fall 2019,,
2af959e4-a7f,enrollment,2019-09-09,Fall 2019,full-time,1.0
0b5a0bd7-07f,application,2019-10-11,Fall 2020,,
0b5a0bd7-07f,acceptance,2019-11-22,Fall 2020,,
0b5a0bd7-07f,enrollment,2020-08-20,Fall 2020,part-time,1.0
30d04289-362,application,2019-10-26,Fall 2020,,
30d04289-362,acceptance,2019-11-29,Fall 2020,,
30d04289-362,enrollment,2020-09-12,Fall 2020,full-time,1.0
e2aac6b1-d87,application,2019-12-08,Fall 2020,,
e2aac6b1-d87,acceptance,2020-02-16,Fall 2020,,
e2aac6b1-d87,enrollment,2020-08-25,Fall 2020,full-time,0.0
e2aac6b1-d87,withdrawal,2021-03-16,Spring 2021,not_enrolled,0.0
d95afe0d-5d7,application,2020-02-01,Fall 2020,,
d95afe0d-5d7,acceptance,2020-04-20,Fall 2020,,
d95afe0d-5d7,enrollment,2020-08-19,Fall 2020,full-time,0.0
d95afe0d-5d7,withdrawal,2021-06-22,Spring 2021,not_enrolled,0.0
c593b0bd-37f,application,2019-10-24,Fall 2020,,
c593b0bd-37f,acceptance,2020-01-18,Fall 2020,,
c593b0bd-37f,enrollment,2020-09-07,Fall 2020,full-time,1.0
37ac38a8-98b,application,2018-12-14,Fall 2019,,
37ac38a8-98b,acceptance,2019-01-21,Fall 2019,,
37ac38a8-98b,enrollment,2019-08-25,Fall 2019,full-time,1.0
70ed1b2a-48f,application,2019-12-05,Fall 2020,,
70ed1b2a-48f,acceptance,2020-02-23,Fall 2020,,
70ed1b2a-48f,enrollment,2020-09-10,Fall 2020,full-time,0.0
e7aad2f9-d80,application,2019-10-03,Fall 2020,,
e7aad2f9-d80,acceptance,2019-12-27,Fall 2020,,
e7aad2f9-d80,enrollment,2020-09-05,Fall 2020,part-time,0.0
e7aad2f9-d80,withdrawal,2021-01-31,Spring 2021,not_enrolled,0.0
e17d60fe-de9,application,2020-10-27,Fall 2021,,
e17d60fe-de9,acceptance,2020-11-26,Fall 2021,,
e17d60fe-de9,enrollment,2021-09-03,Fall 2021,full-time,1.0
50b6cb7d-c99,application,2019-02-07,Fall 2019,,
50b6cb7d-c99,acceptance,2019-04-21,Fall 2019,,
50b6cb7d-c99,enrollment,2019-08-21,Fall 2019,part-time,1.0
db052ac7-6c4,application,2020-02-04,Fall 2020,,
db052ac7-6c4,acceptance,2020-04-12,Fall 2020,,
db052ac7-6c4,enrollment,2020-08-23,Fall 2020,full-time,0.0
168283c2-414,application,2021-01-10,Fall 2021,,
168283c2-414,acceptance,2021-04-08,Fall 2021,,
168283c2-414,enrollment,2021-08-27,Fall 2021,full-time,1.0
a5d6c166-c20,application,2018-12-19,Fall 2019,,
a5d6c166-c20,acceptance,2019-01-31,Fall 2019,,
a5d6c166-c20,enrollment,2019-09-04,Fall 2019,full-time,1.0
8c863314-ea7,application,2019-10-23,Fall 2020,,
8c863314-ea7,acceptance,2020-01-12,Fall 2020,,
8c863314-ea7,enrollment,2020-08-28,Fall 2020,full-time,0.0
e9e972d2-f85,application,2018-10-26,Fall 2019,,
e9e972d2-f85,acceptance,2018-12-30,Fall 2019,,
e9e972d2-f85,enrollment,2019-09-08,Fall 2019,full-time,0.0
d6d5e424-db2,application,2019-10-22,Fall 2020,,
d6d5e424-db2,acceptance,2020-01-04,Fall 2020,,
d6d5e424-db2,enrollment,2020-08-19,Fall 2020,full-time,1.0
d1d0b5bd-7bf,application,2021-02-08,Fall 2021,,
d1d0b5bd-7bf,acceptance,2021-04-16,Fall 2021,,
d1d0b5bd-7bf,enrollment,2021-08-25,Fall 2021,full-time,1.0
58a37a63-560,application,2020-11-20,Fall 2021,,
58a37a63-560,acceptance,2021-02-17,Fall 2021,,
58a37a63-560,enrollment,2021-09-09,Fall 2021,full-time,1.0
00aa3b35-f50,application,2018-11-04,Fall 2019,,
00aa3b35-f50,acceptance,2019-01-18,Fall 2019,,
00aa3b35-f50,enrollment,2019-08-18,Fall 2019,full-time,1.0
1e347ff9-3af,application,2019-11-17,Fall 2020,,
1e347ff9-3af,acceptance,2019-12-18,Fall 2020,,
1e347ff9-3af,enrollment,2020-08-16,Fall 2020,full-time,1.0
32d2b82c-e92,application,2019-11-14,Fall 2020,,
32d2b82c-e92,acceptance,2020-01-02,Fall 2020,,
32d2b82c-e92,enrollment,2020-08-30,Fall 2020,full-time,1.0
0ff68331-dc9,application,2020-03-12,Fall 2020,,
0ff68331-dc9,acceptance,2020-05-27,Fall 2020,,
0ff68331-dc9,enrollment,2020-08-23,Fall 2020,full-time,1.0
6dd38b38-8d2,application,2018-11-30,Fall 2019,,
6dd38b38-8d2,acceptance,2018-12-31,Fall 2019,,
6dd38b38-8d2,enrollment,2019-08-16,Fall 2019,full-time,1.0
ed501a13-f5d,application,2018-10-05,Fall 2019,,
ed501a13-f5d,acceptance,2018-12-09,Fall 2019,,
ed501a13-f5d,enrollment,2019-08-17,Fall 2019,full-time,1.0
6425204c-fab,application,2020-01-03,Fall 2020,,
6425204c-fab,acceptance,2020-03-12,Fall 2020,,
6425204c-fab,enrollment,2020-09-12,Fall 2020,full-time,1.0
63ab3dc8-86b,application,2020-01-23,Fall 2020,,
63ab3dc8-86b,acceptance,2020-04-09,Fall 2020,,
63ab3dc8-86b,enrollment,2020-08-22,Fall 2020,full-time,1.0
79f2b267-a04,application,2018-12-28,Fall 2019,,
79f2b267-a04,acceptance,2019-03-14,Fall 2019,,
79f2b267-a04,enrollment,2019-08-24,Fall 2019,full-time,0.0
5e1382a5-92e,application,2020-01-03,Fall 2020,,
5e1382a5-92e,acceptance,2020-02-10,Fall 2020,,
5e1382a5-92e,enrollment,2020-09-04,Fall 2020,part-time,1.0
3247c6ff-8e9,application,2021-02-11,Fall 2021,,
3247c6ff-8e9,acceptance,2021-04-16,Fall 2021,,
3247c6ff-8e9,enrollment,2021-09-02,Fall 2021,part-time,1.0
70a887b5-0bd,application,2019-03-11,Fall 2019,,
70a887b5-0bd,acceptance,2019-06-02,Fall 2019,,
70a887b5-0bd,enrollment,2019-09-04,Fall 2019,full-time,1.0
895d589f-d0a,application,2018-12-06,Fall 2019,,
895d589f-d0a,acceptance,2019-01-19,Fall 2019,,
895d589f-d0a,enrollment,2019-08-19,Fall 2019,full-time,1.0
065bbcfd-f6b,application,2021-03-12,Fall 2021,,
065bbcfd-f6b,acceptance,2021-05-18,Fall 2021,,
065bbcfd-f6b,enrollment,2021-09-09,Fall 2021,full-time,1.0
7ceb8ed2-865,application,2020-10-21,Fall 2021,,
7ceb8ed2-865,acceptance,2020-12-05,Fall 2021,,
7ceb8ed2-865,enrollment,2021-08-23,Fall 2021,full-time,0.0
7ceb8ed2-865,withdrawal,2022-03-21,Spring 2022,not_enrolled,0.0
265818b6-a51,application,2019-12-03,Fall 2020,,
265818b6-a51,acceptance,2020-02-02,Fall 2020,,
265818b6-a51,enrollment,2020-09-07,Fall 2020,full-time,1.0
c39040c5-4be,application,2018-11-01,Fall 2019,,
c39040c5-4be,acceptance,2019-01-11,Fall 2019,,
c39040c5-4be,enrollment,2019-08-25,Fall 2019,part-time,1.0
605cceee-0b4,application,2019-01-16,Fall 2019,,
605cceee-0b4,acceptance,2019-03-06,Fall 2019,,
605cceee-0b4,enrollment,2019-08-16,Fall 2019,full-time,1.0
4618bce1-f60,application,2019-01-05,Fall 2019,,
4618bce1-f60,acceptance,2019-03-04,Fall 2019,,
4618bce1-f60,enrollment,2019-09-07,Fall 2019,full-time,1.0
0ebb714b-59d,application,2021-01-21,Fall 2021,,
0ebb714b-59d,acceptance,2021-03-03,Fall 2021,,
0ebb714b-59d,enrollment,2021-09-09,Fall 2021,full-time,1.0
cbd1f6ff-52c,application,2019-01-15,Fall 2019,,
cbd1f6ff-52c,acceptance,2019-03-21,Fall 2019,,
cbd1f6ff-52c,enrollment,2019-08-31,Fall 2019,full-time,1.0
c1d72a6c-7d2,application,2019-12-18,Fall 2020,,
