student_id,term,term_code,term_gpa,cumulative_gpa,credits_attempted,credits_earned,course_count,major,major_changed_flag,academic_standing,campus
d084b348-f35,Spring 2021,202100,2.85,2.82,10,5,5,Political Science,False,good,Downtown Center
69d39f8c-366,Spring 2021,202100,2.78,2.78,12,12,5,Biology,False,good,Main Campus
69d39f8c-366,Fall 2021,202110,3.12,2.95,21,19,5,Philosophy,True,good,Main Campus
5d2e0d2b-f0a,Fall 2019,201900,3.1,3.1,12,10,5,Undeclared,False,good,Downtown Center
5d2e0d2b-f0a,Spring 2020,202000,1.61,2.36,12,11,2,Music,True,good,Downtown Center
feef8e59-89a,Spring 2021,202100,2.78,2.78,12,9,5,Political Science,False,good,Downtown Center
feef8e59-89a,Fall 2021,202110,3.14,2.96,13,13,4,Political Science,False,good,Downtown Center
1c599c5a-9c2,Spring 2021,202100,4.0,4.0,15,14,4,Biology,False,good,Downtown Center
1c599c5a-9c2,Fall 2021,202110,3.09,3.54,15,14,6,Biology,False,good,Downtown Center
1c599c5a-9c2,Spring 2022,202200,3.25,3.44,12,12,4,Biology,False,good,Downtown Center
6f59e52c-0c0,Spring 2020,202000,2.91,2.91,17,17,5,English,False,good,Satellite South
6f59e52c-0c0,Fall 2020,202010,3.26,3.08,13,12,5,English,False,good,Satellite South
5639f687-304,Spring 2020,202000,2.12,2.12,13,13,4,Biology,False,good,Main Campus
5639f687-304,Fall 2020,202010,2.32,2.22,15,13,4,Biology,False,good,Main Campus
bb8f9b74-9fd,Fall 2019,201900,2.85,2.85,19,19,4,Communications,False,good,Satellite South
bb8f9b74-9fd,Spring 2020,202000,3.85,3.35,11,10,3,Communications,False,good,Satellite South
bb8f9b74-9fd,Fall 2020,202010,2.85,3.18,14,13,6,Communications,False,good,Satellite South
bb8f9b74-9fd,Spring 2021,202100,3.58,3.28,15,12,4,Communications,True,good,Satellite South
8a1bd519-273,Spring 2021,202100,2.51,2.51,16,16,5,Nursing,False,good,Main Campus
8a1bd519-273,Fall 2021,202110,1.67,2.09,18,18,7,Nursing,False,good,Main Campus
25d7c3d3-5a8,Fall 2019,201900,2.63,2.63,13,13,4,Engineering,False,good,Satellite North
25d7c3d3-5a8,Spring 2020,202000,2.49,2.56,15,14,6,Engineering,False,good,Satellite North
25d7c3d3-5a8,Fall 2020,202010,3.12,2.75,19,15,4,Engineering,False,good,Satellite North
de58c3fc-78a,Spring 2020,202000,2.39,2.39,13,13,6,History,False,good,Main Campus
de58c3fc-78a,Fall 2020,202010,2.16,2.28,16,14,4,History,False,good,Main Campus
eef76dc0-5c2,Spring 2021,202100,2.4,2.4,19,19,6,Psychology,False,good,Online
eef76dc0-5c2,Fall 2021,202110,2.65,2.52,12,12,4,Chemistry,True,good,Online
76add772-6c6,Fall 2019,201900,3.48,3.48,8,6,6,Business Administration,False,good,Online
76add772-6c6,Spring 2020,202000,2.61,3.04,14,11,5,Business Administration,False,good,Online
76add772-6c6,Fall 2020,202010,2.53,2.87,19,17,3,Business Administration,False,good,Online
895d0b12-eb0,Fall 2019,201900,3.64,3.64,15,11,4,Biology,False,good,Main Campus
895d0b12-eb0,Spring 2020,202000,3.42,3.53,15,15,5,Biology,False,good,Main Campus
895d0b12-eb0,Fall 2020,202010,3.35,3.47,19,19,7,Biology,False,good,Main Campus
895d0b12-eb0,Spring 2021,202100,2.46,3.22,19,19,5,Biology,False,good,Main Campus
3bc1f190-003,Fall 2019,201900,3.76,3.76,15,13,3,Communications,False,good,Online
3bc1f190-003,Spring 2020,202000,2.33,3.04,11,11,4,Communications,False,good,Online
3bc1f190-003,Fall 2020,202010,3.29,3.12,12,11,4,Communications,False,good,Online
f65d569d-335,Spring 2020,202000,3.27,3.27,13,11,4,Economics,False,good,Main Campus
f65d569d-335,Fall 2020,202010,2.86,3.06,19,17,7,Economics,False,good,Main Campus
18880f3d-fe3,Spring 2020,202000,2.71,2.71,15,14,6,Philosophy,False,good,Satellite South
18880f3d-fe3,Fall 2020,202010,2.8,2.76,18,17,6,Philosophy,False,good,Satellite South
18880f3d-fe3,Spring 2021,202100,3.07,2.86,18,17,4,Philosophy,False,good,Satellite South
bad781b0-491,Fall 2019,201900,2.61,2.61,21,19,3,Undeclared,False,good,Main Campus
bad781b0-491,Spring 2020,202000,1.18,1.9,13,12,4,Undeclared,False,probation,Main Campus
92baf444-006,Fall 2019,201900,2.78,2.78,13,12,4,Computer Science,False,good,Satellite North
92baf444-006,Spring 2020,202000,2.32,2.55,15,12,4,Computer Science,False,good,Satellite North
22b863dc-105,Spring 2020,202000,1.55,1.55,15,14,4,Biology,False,probation,Main Campus
22b863dc-105,Fall 2020,202010,3.05,2.3,18,18,6,Biology,False,good,Main Campus
f1e50a43-6d1,Fall 2019,201900,3.15,3.15,16,14,4,Biology,False,good,Satellite North
f1e50a43-6d1,Spring 2020,202000,3.43,3.29,16,15,4,Biology,False,good,Satellite North
f1e50a43-6d1,Fall 2020,202010,2.92,3.17,17,16,4,Biology,False,good,Satellite North
eb567f76-bed,Fall 2019,201900,3.5,3.5,16,16,6,Biology,False,good,Satellite South
eb567f76-bed,Spring 2020,202000,3.28,3.39,20,19,6,Chemistry,True,good,Satellite South
eb567f76-bed,Fall 2020,202010,3.39,3.39,15,15,4,Chemistry,False,good,Satellite South
60a6e1a0-da0,Spring 2021,202100,2.69,2.69,15,13,4,Chemistry,False,good,Downtown Center
60a6e1a0-da0,Fall 2021,202110,2.04,2.37,18,17,5,Chemistry,False,good,Downtown Center
aeb974a6-d3f,Spring 2021,202100,2.43,2.43,13,13,6,Computer Science,False,good,Satellite North
aeb974a6-d3f,Fall 2021,202110,3.73,3.08,13,12,4,Computer Science,False,good,Satellite North
aeb974a6-d3f,Spring 2022,202200,2.34,2.83,13,11,5,Computer Science,False,good,Satellite North
8bb4b6fa-342,Fall 2019,201900,2.66,2.66,18,16,5,Chemistry,False,good,Main Campus
8bb4b6fa-342,Spring 2020,202000,2.49,2.58,15,15,3,Chemistry,False,good,Main Campus
a955a300-c84,Spring 2021,202100,2.88,2.88,13,12,5,Communications,False,good,Main Campus
a955a300-c84,Fall 2021,202110,2.81,2.84,13,12,6,Communications,False,good,Main Campus
a9e10d7d-f68,Fall 2019,201900,3.37,3.37,12,11,6,Biology,False,good,Online
a9e10d7d-f68,Spring 2020,202000,2.16,2.76,16,16,5,Biology,False,good,Online
a9e10d7d-f68,Fall 2020,202010,3.64,3.05,15,15,5,Biology,False,good,Online
73617523-70a,Fall 2019,201900,3.06,3.06,17,16,4,Political Science,False,good,Satellite North
73617523-70a,Spring 2020,202000,2.9,2.98,14,13,5,Political Science,False,good,Satellite North
73617523-70a,Fall 2020,202010,3.67,3.21,19,19,3,Political Science,False,good,Satellite North
73617523-70a,Spring 2021,202100,3.72,3.34,15,14,4,Political Science,False,good,Satellite North
e22ba6e5-af1,Fall 2019,201900,3.14,3.14,13,13,4,Chemistry,False,good,Main Campus
e22ba6e5-af1,Spring 2020,202000,3.35,3.24,16,16,2,Chemistry,False,good,Main Campus
e22ba6e5-af1,Fall 2020,202010,3.15,3.21,17,16,6,Chemistry,False,good,Main Campus
e22ba6e5-af1,Spring 2021,202100,3.79,3.35,20,20,3,Chemistry,False,good,Main Campus
23280704-ea0,Spring 2020,202000,2.21,2.21,19,18,7,Mathematics,False,good,Main Campus
23280704-ea0,Fall 2020,202010,2.09,2.15,20,20,4,Mathematics,False,good,Main Campus
afe50617-661,Spring 2020,202000,2.75,2.75,18,16,6,Mathematics,False,good,Satellite North
afe50617-661,Fall 2020,202010,2.87,2.81,12,11,5,Mathematics,False,good,Satellite North
8ae687c8-97e,Fall 2019,201900,3.5,3.5,16,15,4,Chemistry,False,good,Online
8ae687c8-97e,Spring 2020,202000,1.82,2.66,12,12,5,Chemistry,False,good,Online
8ae687c8-97e,Fall 2020,202010,3.4,2.91,12,12,5,Chemistry,False,good,Online
354dbd40-195,Spring 2020,202000,2.57,2.57,14,13,2,English,False,good,Main Campus
354dbd40-195,Fall 2020,202010,2.79,2.68,12,9,5,English,False,good,Main Campus
354dbd40-195,Spring 2021,202100,3.1,2.82,12,10,4,English,False,good,Main Campus
735478c8-a7d,Spring 2020,202000,2.55,2.55,14,14,5,Business Administration,False,good,Main Campus
735478c8-a7d,Fall 2020,202010,2.95,2.75,14,14,4,Business Administration,False,good,Main Campus
b448a982-7d9,Fall 2019,201900,3.11,3.11,19,19,6,Nursing,False,good,Downtown Center
b448a982-7d9,Spring 2020,202000,2.91,3.01,11,11,4,Biology,True,good,Downtown Center
b448a982-7d9,Fall 2020,202010,2.4,2.81,13,12,6,Biology,False,good,Downtown Center
1fde2f91-c65,Spring 2020,202000,2.72,2.72,13,12,6,Philosophy,False,good,Main Campus
1fde2f91-c65,Fall 2020,202010,2.57,2.64,14,14,4,Nursing,True,good,Main Campus
2029de2f-649,Fall 2019,201900,2.5,2.5,17,14,5,Communications,False,good,Online
2029de2f-649,Spring 2020,202000,2.51,2.5,17,16,4,Communications,False,good,Online
823ebf17-6c6,Fall 2019,201900,2.64,2.64,12,12,2,Biology,False,good,Main Campus
823ebf17-6c6,Spring 2020,202000,3.16,2.9,14,13,5,Biology,False,good,Main Campus
823ebf17-6c6,Fall 2020,202010,2.93,2.91,10,9,4,Biology,False,good,Main Campus
8e1df79f-ceb,Spring 2021,202100,3.35,3.35,14,14,4,English,False,good,Main Campus
8e1df79f-ceb,Fall 2021,202110,3.59,3.47,14,13,4,English,False,good,Main Campus
8e1df79f-ceb,Spring 2022,202200,3.09,3.34,14,14,4,English,False,good,Main Campus
af4ad3f1-ffd,Fall 2019,201900,3.02,3.02,19,17,6,Economics,False,good,Downtown Center
af4ad3f1-ffd,Spring 2020,202000,3.03,3.02,16,16,3,Economics,False,good,Downtown Center
7a6305ac-f47,Spring 2021,202100,2.7,2.7,11,11,6,Art,False,good,Main Campus
7a6305ac-f47,Fall 2021,202110,2.57,2.64,17,16,5,Art,False,good,Main Campus
7a6305ac-f47,Spring 2022,202200,2.53,2.6,21,21,3,Art,False,good,Main Campus
65e97a53-269,Fall 2019,201900,3.2,3.2,20,20,5,Chemistry,False,good,Satellite South
65e97a53-269,Spring 2020,202000,2.97,3.08,16,16,5,Chemistry,False,good,Satellite South
65e97a53-269,Fall 2020,202010,3.31,3.16,12,10,6,Chemistry,False,good,Satellite South
63b2345f-d17,Fall 2019,201900,2.5,2.5,13,12,5,Chemistry,False,good,Online
63b2345f-d17,Spring 2020,202000,2.87,2.68,13,13,3,Chemistry,False,good,Online
bda29f96-cf0,Spring 2020,202000,3.22,3.22,9,8,6,Computer Science,False,good,Main Campus
bda29f96-cf0,Fall 2020,202010,2.2,2.71,13,11,5,Computer Science,False,good,Main Campus
bda29f96-cf0,Spring 2021,202100,3.4,2.94,16,14,4,Computer Science,False,good,Main Campus
8e71707a-ea5,Spring 2021,202100,4.0,4.0,13,12,6,Biology,False,good,Downtown Center
8e71707a-ea5,Fall 2021,202110,3.6,3.8,17,16,6,Biology,False,good,Downtown Center
8e71707a-ea5,Spring 2022,202200,3.42,3.67,19,19,4,Biology,False,good,Downtown Center
1fe5511e-f66,Spring 2021,202100,2.52,2.52,16,16,4,Political Science,False,good,Satellite South
1fe5511e-f66,Fall 2021,202110,2.88,2.7,13,13,5,Communications,True,good,Satellite South
5fac00c2-d30,Spring 2020,202000,3.56,3.56,14,13,5,Engineering,False,good,Online
5fac00c2-d30,Fall 2020,202010,2.59,3.08,13,12,4,Engineering,False,good,Online
5fac00c2-d30,Spring 2021,202100,3.82,3.33,13,13,5,Engineering,False,good,Online
09dd6673-b14,Fall 2019,201900,1.82,1.82,14,14,4,Music,False,probation,Satellite North
09dd6673-b14,Spring 2020,202000,1.88,1.85,17,17,4,Music,False,probation,Satellite North
df017454-ce1,Spring 2021,202100,2.74,2.74,16,15,5,Mathematics,False,good,Main Campus
df017454-ce1,Fall 2021,202110,3.4,3.07,18,18,3,Mathematics,False,good,Main Campus
df017454-ce1,Spring 2022,202200,2.71,2.95,16,15,4,Mathematics,False,good,Main Campus
3c777be2-53b,Spring 2021,202100,2.25,2.25,6,5,5,Sociology,False,good,Main Campus
3c777be2-53b,Fall 2021,202110,2.57,2.41,15,14,5,Sociology,False,good,Main Campus
e32f8096-30b,Fall 2019,201900,2.82,2.82,15,15,4,Nursing,False,good,Satellite South
e32f8096-30b,Spring 2020,202000,2.44,2.63,15,14,5,Nursing,False,good,Satellite South
bababfb4-520,Spring 2021,202100,2.86,2.86,18,16,4,Mathematics,False,good,Main Campus
bababfb4-520,Fall 2021,202110,2.81,2.84,9,7,5,Mathematics,False,good,Main Campus
6834b70f-300,Spring 2020,202000,1.7,1.7,17,14,4,Nursing,False,probation,Satellite North
6834b70f-300,Fall 2020,202010,1.64,1.67,12,11,5,Nursing,False,probation,Satellite North
65ee3e2c-c12,Spring 2021,202100,3.22,3.22,12,11,4,Sociology,False,good,Online
65ee3e2c-c12,Fall 2021,202110,3.02,3.12,13,10,6,Sociology,False,good,Online
6856faa1-363,Spring 2021,202100,3.14,3.14,13,11,3,Psychology,False,good,Main Campus
6856faa1-363,Fall 2021,202110,2.59,2.86,9,8,6,Psychology,False,good,Main Campus
6856faa1-363,Spring 2022,202200,2.81,2.84,17,15,6,Psychology,False,good,Main Campus
f09af766-d8b,Spring 2021,202100,2.37,2.37,14,14,5,Biology,False,good,Main Campus
f09af766-d8b,Fall 2021,202110,2.83,2.6,14,14,5,Biology,False,good,Main Campus
f09af766-d8b,Spring 2022,202200,2.95,2.72,20,20,4,Biology,False,good,Main Campus
410491f4-1fb,Fall 2019,201900,3.57,3.57,12,11,4,Music,False,good,Downtown Center
410491f4-1fb,Spring 2020,202000,2.79,3.18,16,13,5,Music,False,good,Downtown Center
410491f4-1fb,Fall 2020,202010,2.76,3.04,18,18,3,Music,False,good,Downtown Center
3f287569-824,Fall 2019,201900,2.8,2.8,16,14,5,Music,False,good,Main Campus
3f287569-824,Spring 2020,202000,2.77,2.78,15,12,6,Music,False,good,Main Campus
e1c4307a-e6c,Spring 2020,202000,1.71,1.71,16,15,4,Sociology,False,probation,Main Campus
e1c4307a-e6c,Fall 2020,202010,2.21,1.96,15,12,5,Sociology,False,probation,Main Campus
d42c282c-608,Fall 2019,201900,2.71,2.71,17,16,4,Psychology,False,good,Satellite South
d42c282c-608,Spring 2020,202000,2.47,2.59,11,10,4,Psychology,False,good,Satellite South
d42c282c-608,Fall 2020,202010,2.85,2.68,14,12,6,Psychology,False,good,Satellite South
312a0464-bea,Fall 2019,201900,2.85,2.85,17,16,5,Communications,False,good,Main Campus
312a0464-bea,Spring 2020,202000,3.26,3.06,15,15,5,Communications,False,good,Main Campus
50855346-7c1,Fall 2019,201900,2.17,2.17,15,15,4,English,False,good,Online
50855346-7c1,Spring 2020,202000,2.0,2.08,18,17,6,English,False,good,Online
50855346-7c1,Fall 2020,202010,2.92,2.36,14,13,6,English,False,good,Online
465085e5-175,Fall 2019,201900,3.37,3.37,15,14,4,Music,False,good,Online
465085e5-175,Spring 2020,202000,2.37,2.87,8,8,6,Music,False,good,Online
465085e5-175,Fall 2020,202010,3.55,3.1,15,15,4,Music,False,good,Online
6089b9f5-0dc,Spring 2021,202100,3.01,3.01,14,13,4,Nursing,False,good,Main Campus
6089b9f5-0dc,Fall 2021,202110,2.58,2.8,13,12,4,Nursing,False,good,Main Campus
6089b9f5-0dc,Spring 2022,202200,2.84,2.81,18,17,3,Nursing,False,good,Main Campus
78c332f6-f80,Spring 2020,202000,3.04,3.04,19,17,4,Sociology,False,good,Online
78c332f6-f80,Fall 2020,202010,3.31,3.18,15,15,3,Sociology,False,good,Online
78c332f6-f80,Spring 2021,202100,2.85,3.07,20,20,5,Sociology,False,good,Online
78c332f6-f80,Fall 2021,202110,2.68,2.97,6,5,4,Sociology,False,good,Online
c9e5b1c5-2a8,Spring 2020,202000,2.78,2.78,17,16,5,Sociology,False,good,Online
c9e5b1c5-2a8,Fall 2020,202010,2.79,2.78,14,13,4,Sociology,False,good,Online
c9e5b1c5-2a8,Spring 2021,202100,2.28,2.61,14,14,4,Sociology,False,good,Online
a0622ce4-f9c,Spring 2021,202100,2.43,2.43,15,15,4,Computer Science,False,good,Main Campus
a0622ce4-f9c,Fall 2021,202110,2.74,2.58,21,19,5,Computer Science,False,good,Main Campus
9a6f3b19-176,Spring 2020,202000,2.7,2.7,10,7,4,Business Administration,False,good,Main Campus
9a6f3b19-176,Fall 2020,202010,2.45,2.58,11,11,5,Business Administration,False,good,Main Campus
9a6f3b19-176,Spring 2021,202100,1.97,2.38,15,12,4,Business Administration,False,good,Main Campus
22a502e6-244,Spring 2020,202000,2.36,2.36,19,19,4,Political Science,False,good,Satellite North
22a502e6-244,Fall 2020,202010,2.52,2.44,9,7,3,Political Science,False,good,Satellite North
2af959e4-a7f,Fall 2019,201900,2.61,2.61,12,11,5,Engineering,False,good,Online
2af959e4-a7f,Spring 2020,202000,2.21,2.41,18,18,3,Engineering,False,good,Online
2af959e4-a7f,Fall 2020,202010,3.29,2.7,11,11,5,Psychology,True,good,Online
0b5a0bd7-07f,Spring 2020,202000,2.7,2.7,13,10,3,Undeclared,False,good,Satellite South
0b5a0bd7-07f,Fall 2020,202010,2.84,2.77,18,18,5,Undeclared,False,good,Satellite South
0b5a0bd7-07f,Spring 2021,202100,2.67,2.74,16,13,4,Undeclared,False,good,Satellite South
30d04289-362,Spring 2020,202000,2.82,2.82,14,14,3,Philosophy,False,good,Downtown Center
30d04289-362,Fall 2020,202010,2.9,2.86,15,13,5,Political Science,True,good,Downtown Center
30d04289-362,Spring 2021,202100,3.03,2.92,17,14,6,Political Science,False,good,Downtown Center
e2aac6b1-d87,Spring 2020,202000,2.22,2.22,12,12,5,Mathematics,False,good,Main Campus
e2aac6b1-d87,Fall 2020,202010,1.92,2.07,9,8,5,Mathematics,False,good,Main Campus
e2aac6b1-d87,Spring 2021,202100,2.99,2.38,13,13,5,Mathematics,False,good,Main Campus
d95afe0d-5d7,Spring 2020,202000,2.29,2.29,15,15,3,Communications,False,good,Main Campus
d95afe0d-5d7,Fall 2020,202010,2.94,2.62,16,16,3,Communications,False,good,Main Campus
c593b0bd-37f,Spring 2020,202000,3.16,3.16,16,14,3,Psychology,False,good,Main Campus
c593b0bd-37f,Fall 2020,202010,2.35,2.76,15,14,3,Psychology,False,good,Main Campus
c593b0bd-37f,Spring 2021,202100,2.92,2.81,17,15,4,Psychology,False,good,Main Campus
37ac38a8-98b,Fall 2019,201900,2.13,2.13,16,16,5,Engineering,False,good,Downtown Center
37ac38a8-98b,Spring 2020,202000,3.37,2.75,12,11,4,Engineering,False,good,Downtown Center
70ed1b2a-48f,Spring 2020,202000,2.89,2.89,13,11,4,Undeclared,False,good,Main Campus
70ed1b2a-48f,Fall 2020,202010,2.79,2.84,10,8,3,English,True,good,Main Campus
e7aad2f9-d80,Spring 2020,202000,2.68,2.68,16,15,5,Psychology,False,good,Online
e7aad2f9-d80,Fall 2020,202010,2.93,2.8,17,16,5,Art,True,good,Online
e17d60fe-de9,Spring 2021,202100,3.09,3.09,19,15,5,English,False,good,Satellite North
e17d60fe-de9,Fall 2021,202110,2.92,3.0,13,11,4,English,False,good,Satellite North
50b6cb7d-c99,Fall 2019,201900,3.66,3.66,12,11,5,History,False,good,Main Campus
50b6cb7d-c99,Spring 2020,202000,3.12,3.39,14,12,5,History,False,good,Main Campus
50b6cb7d-c99,Fall 2020,202010,3.22,3.33,14,13,5,History,False,good,Main Campus
50b6cb7d-c99,Spring 2021,202100,3.67,3.42,20,20,3,History,False,good,Main Campus
db052ac7-6c4,Spring 2020,202000,2.78,2.78,10,8,5,Political Science,False,good,Main Campus
db052ac7-6c4,Fall 2020,202010,2.98,2.88,13,12,5,Political Science,False,good,Main Campus
db052ac7-6c4,Spring 2021,202100,2.59,2.78,15,14,5,Political Science,False,good,Main Campus
168283c2-414,Spring 2021,202100,2.15,2.15,14,14,6,Nursing,False,good,Downtown Center
168283c2-414,Fall 2021,202110,2.81,2.48,15,11,5,Nursing,False,good,Downtown Center
168283c2-414,Spring 2022,202200,2.89,2.62,14,13,5,History,True,good,Downtown Center
a5d6c166-c20,Fall 2019,201900,2.8,2.8,14,11,5,English,False,good,Main Campus
a5d6c166-c20,Spring 2020,202000,2.64,2.72,14,13,4,English,False,good,Main Campus
a5d6c166-c20,Fall 2020,202010,1.75,2.4,17,16,5,English,False,good,Main Campus
8c863314-ea7,Spring 2020,202000,1.89,1.89,12,10,3,Communications,False,probation,Main Campus
8c863314-ea7,Fall 2020,202010,2.02,1.96,18,13,4,Communications,False,probation,Main Campus
e9e972d2-f85,Fall 2019,201900,3.03,3.03,17,16,5,Sociology,False,good,Main Campus
e9e972d2-f85,Spring 2020,202000,2.51,2.77,12,12,5,Sociology,False,good,Main Campus
e9e972d2-f85,Fall 2020,202010,3.26,2.93,17,15,5,Sociology,False,good,Main Campus
